,Hava,Seyis,Unnamed: 2,TR
0,Engin,Mersinli,,TR
4,Emre,Solmaz,,TR
5,Cengiz,Seyhan,,TR
6,Orhan,Batmaz,,TR
7,Mehmet,Ali,,TR
12,Hamit,Aslan,,TR
15,Kamil,Kemal,,TR
16,Halil,Kaygisiz,,TR
20,Arif,Uysal,,TR
21,Oktay,Polat,,TR
23,Yunu,Demirkol,,TR
25,Bilal,Zengin,,TR
27,Yaser,Bayram,,TR
28,Gulten,Tuna,,TR
29,Kemal,Soytop,,TR
30,Esra,Goksin,,TR
34,Cenk,Yildirim,,TR
36,Yusuf,Arinci,,TR
37,Mehmet,Barut,,TR
40,Zehra,Aydin,,TR
41,Sara,Misulam,,TR
43,Samet,Yavuz,,TR
46,Murat,Savuran,,TR
47,Feti,Atas,,TR
50,Kebabi,Kebabi,,TR
55,Rahmi,Akkuzu,,TR
56,Oktay,Bozkurt,,TR
59,Burak,Hekim,,TR
61,Sebih,Arkan,,TR
65,Sami,Yetimova,,TR
67,Sultan,Alpinar,,TR
69,Ali,Bektas,,TR
70,Burhan,Duman,,TR
73,Osman,Demirel,,TR
75,Refik,Can,,TR
77,Ali,Demirci,,TR
78,Adem,Portakal,,TR
80,Kemal,Othan,,TR
81,Tahir,Erbil,,TR
84,Emrullah,Aksoy,,TR
88,Didem,Keskin,,TR
91,Umutcan,Koca,,TR
93,Cahide,Kizil,,TR
99,Berke,Temiz,,TR
102,Kadir,Gunes,,TR
104,Esma,Cakar,,TR
106,Ismail,Kaya,,TR
109,Seda,Uzun,,TR
112,Hasan,Gudil,,TR
115,Habibe,Eker,,TR
116,Yasemin,Sadeer,,TR
118,Seyma,Cakmak,,TR
120,Mustafa,Aksoy,,TR
122,Hacer,Sustan,,TR
123,Hatice,Keskin,,TR
126,Hayriye,Demircioglu,,TR
127,Umut,Mil,,TR
128,Durdu,Kurt,,TR
131,Mehmet,Guney,,TR
132,Ahmethan,Kammalak,,TR
133,Furkan,Temiz,,TR
137,Hava,Kotan,,TR
139,Sukru,Kalkan,,TR
141,Bulent,Cakmak,,TR
147,Zehra,Konyali,,TR
148,Miraa,Deniz,,TR
153,Muhammed,Bozkurt,,TR
154,Abdurrahim,Budak,,TR
158,Bengisu,Buyuran,,TR
162,Ilknur,Kurt,,TR
163,Mahmut,Turan,,TR
165,Suheyla,Ozturk,,TR
167,Inci,Karacaoglu,,TR
168,Necati,Duzyol,,TR
170,Mukaddes,Canbay,,TR
174,Atakan,Atar,,TR
179,Hamide,Bal,,TR
181,Bade,Duzyol,,TR
184,Mehmet,Aykanat,,TR
186,Ramazan,Ecer,,TR
189,Mehmet,Demir,,TR
190,Serenmerve,Demir,,TR
192,Mustafa,Kartal,,TR
193,Berk,Demir,,TR
194,Tahsin,Islam,,TR
201,Ahmet,Demirci,,TR
203,Cesim,Polat,,TR
204,Gokhan,Guven,,TR
206,Margus,Gani,,TR
207,Mehmet,Dipi,,TR
208,Lavin,Tatlipinar,,TR
210,Leyla,Boztuna,,TR
211,Perihan,Bayrak,,TR
212,Selim,Demir,,TR
216,Eda,Yener,,TR
218,Mahmut,Yorulmaz,,TR
221,Birusk,Brusk,,TR
224,Yasin,Saglamli,,TR
225,Hasan,Bostan,,TR
226,Hayriye,Zorlu,,TR
232,Ahmet,Adnar,,TR
236,Umit,Temek,,TR
237,Yavuz,Utku,,TR
240,Alaattin,Demir,,TR
242,Nurten,Senol,,TR
243,Salih,Kaya,,TR
244,Bekir,Kul,,TR
245,Ender,Dereli,,TR
246,Abdurrahman,Dilmen,,TR
247,Asiye,Metin,,TR
254,Hatice,Uzun,,TR
257,Ela,Ly,,TR
259,Huseyin,Ayhan,,TR
260,Emir,Bincil,,TR
262,Emir,Erdem,,TR
263,Celal,Yildirim,,TR
264,Furkan,Korkmaz,,TR
265,Sabiye,Kabadas,,TR
267,Berna,Alpay,,TR
269,Huseyin,Ayas,,TR
270,Aynur,Demir,,TR
271,Ayse,Dogan,,TR
274,Arif,Sirdas,,TR
276,Sevim,Caglin,,TR
277,Emirhan,Baydar,,TR
280,Hasan,Aykut,,TR
281,Semra,Kalkan,,TR
282,Nurgul,Colak,,TR
283,Mustafa,Tok,,TR
284,Necmi,Topcu,,TR
285,Atila,Girgin,,TR
288,Melahat,Alp,,TR
290,Serpil,Kahraman,,TR
292,Engin,Akar,,TR
294,Mustafa,Aydogan,,TR
302,Balli,Baba,,TR
304,Adem,Kaya,,TR
308,Emre,Yigitsoy,,TR
309,Ayca,Keles,,TR
311,Muzaffer,Bulut,,TR
312,Nermin,Kuyucu,,TR
313,Cengiz,Cakar,,TR
314,Elif,Acar,,TR
316,Ali,Yavru,,TR
318,Sena,Sena,,TR
320,Osman,Avaner,,TR
322,Emrullah,Ekiz,,TR
323,Dolunay,Gull,,TR
325,Serkan,Kurt,,TR
328,Recep,Sert,,TR
334,Hanife,Yelekci,,TR
336,Mehmet,Demir,,TR
338,Serdar,Aslan,,TR
339,Hakan,Bakirdag,,TR
340,Mehmet,Karakaya,,TR
341,Can,Atak,,TR
342,Altan,Atay,,TR
343,Necla,Gungor,,TR
346,Ferda,Erdem,,TR
347,Mustafa,Karakas,,TR
348,Atilla,Atilla,,TR
353,Cemile,Baylan,,TR
354,Salih,Dilek,,TR
358,Leyla,Bayraktar,,TR
359,Selahattin,Zirek,,TR
364,Hafize,Kurt,,TR
366,Can,Kurt,,TR
373,Enes,Acar,,TR
374,Saim,Saribas,,TR
375,Emine,Bulut,,TR
377,Ufuk,Uluhan,,TR
383,Mehmet,Btby,,TR
384,Hasan,Akbudak,,TR
385,Abdullah,Pamuk,,TR
386,Ziya,Girgin,,TR
389,Hacer,Selek,,TR
394,Mevlan,Pekcan,,TR
395,Davut,Yadiz,,TR
399,Mehmet,Kukanazgs,,TR
400,Hasan,Server,,TR
401,Remzi,Yuksel,,TR
403,Avni,Dursun,,TR
405,Saim,Tektas,,TR
406,Erkan,Sukutli,,TR
408,Ali,Deniz,,TR
